תאריך,קבוצה,חבילת אחריות
2026-09-04,קבוצה 1,קידוש ומאפים
2026-09-04,קבוצה 2,ארוחות שבת
2026-09-04,קבוצה 3,ארוחות שישי וסעודה שלישית
2026-09-04,קבוצה 4,טיש ואחריות טכנית
2026-09-18,קבוצה 1,ארוחות שבת
2026-09-18,קבוצה 2,ארוחות שישי וסעודה שלישית
2026-09-18,קבוצה 3,טיש ואחריות טכנית
2026-09-18,קבוצה 4,קידוש ומאפים
