יום,אירוע,מקום,בסיס,היסט,עיגול,הערה,פעולה,מקור
שישי,קבלת שבת ישראלית,הדק של שנה א',,,,,,
שבת,שיעור של שלמה,בית המדרש,קבוע,16:00,,,,
שבת,סעודה שלישית,,,,,,,
